線形代数,senkeidaisuu
行列,gyouretu
上三角行列,uesankakugyouretu
行基本変形,gyoukihonhenkei
正則,seisoku
命題,meidai
零行列,zerogyouretu
簡約行列,kanyakugyouretu
一意性,itiisei
行ベクトル,gyoubekutoru
列ベクトル,retubekutoru
基底,kitei
固有値,koyuuti
線形写像,senkeisyazou
写像,syazou
表現行列,hyougengyouretu
零空間,zerokuukann
行空間,gyoukuukann
列空間,retukuukann
一次独立,itizidokuritu
一次従属,itizizyuuzoku
次元,zigenn
単射,tansya
全射,zensya
